fin,url
lukit,https://mappa.fi/lajikortit/lukit/?referrer=aWQ9NTEwNjM
maasiirat,https://mappa.fi/lajikortit/maasiirat/?referrer=aWQ9NTEwNjM
tuhatjalkaiset,https://mappa.fi/lajikortit/tuhatjalkaiset/?referrer=aWQ9NTEwNjM
metsäetana,https://mappa.fi/lajikortit/metsaetana/?referrer=aWQ9NTEwNjM
lehtokotilo,https://mappa.fi/lajikortit/lehtokotilo/?referrer=aWQ9NTEwNjM
pensaskotilo,https://mappa.fi/lajikortit/pensaskotilo/?referrer=aWQ9NTEwNjM
sinisimpukka,https://mappa.fi/lajikortit/sinisimpukka/?referrer=aWQ9NTEwNjM
liekokasvit,https://mappa.fi/lajikortit/liekokasvit/?referrer=aWQ9NTEwNjM
kortteet,https://mappa.fi/lajikortit/kortteet/?referrer=aWQ9NTEwNjM
sananjalka,https://mappa.fi/lajikortit/sananjalka/?referrer=aWQ9NTEwNjM
pohjankallioimarre,https://mappa.fi/lajikortit/pohjankallioimarre/?referrer=aWQ9NTEwNjM
kataja,https://mappa.fi/lajikortit/kataja/?referrer=aWQ9NTEwNjM
metsäkuusi,https://mappa.fi/lajikortit/metsakuusi/?referrer=aWQ9NTEwNjM
metsämänty,https://mappa.fi/lajikortit/metsamanty/?referrer=aWQ9NTEwNjM
vuohenputki,https://mappa.fi/lajikortit/vuohenputki/?referrer=aWQ9NTEwNjM
karhunputki,https://mappa.fi/lajikortit/karhunputki/?referrer=aWQ9NTEwNjM
koiranputki,https://mappa.fi/lajikortit/koiranputki/?referrer=aWQ9NTEwNjM
kielo,https://mappa.fi/lajikortit/kielo-2/?referrer=aWQ9NTEwNjM
oravanmarja,https://mappa.fi/lajikortit/oravanmarja/?referrer=aWQ9NTEwNjM
siankärsämö,https://mappa.fi/lajikortit/siankarsamo/?referrer=aWQ9NTEwNjM
ojakärsämö,https://mappa.fi/lajikortit/ojakarsamo/?referrer=aWQ9NTEwNjM
ahokissankäpälä,https://mappa.fi/lajikortit/ahokissankapala/?referrer=aWQ9NTEwNjM
seittitakiainen,https://mappa.fi/lajikortit/seittitakiainen/?referrer=aWQ9NTEwNjM
pujo,https://mappa.fi/lajikortit/pujo/?referrer=aWQ9NTEwNjM
ahopäivänkakkara,https://mappa.fi/lajikortit/ahopaivankakkara/?referrer=aWQ9NTEwNjM
pihasaunio,https://mappa.fi/lajikortit/pihasaunio/?referrer=aWQ9NTEwNjM
huopavoikeltano,https://mappa.fi/lajikortit/huopavoikeltano/?referrer=aWQ9NTEwNjM
kultapiisku,https://mappa.fi/lajikortit/kultapiisku/?referrer=aWQ9NTEwNjM
pietaryrtti,https://mappa.fi/lajikortit/pietaryrtti/?referrer=aWQ9NTEwNjM
voikukat,https://mappa.fi/lajikortit/voikukat/?referrer=aWQ9NTEwNjM
peltosaunio,https://mappa.fi/lajikortit/peltosaunio/?referrer=aWQ9NTEwNjM
leskenlehti,https://mappa.fi/lajikortit/leskenlehti/?referrer=aWQ9NTEwNjM
harakankello,https://mappa.fi/lajikortit/harakankello/?referrer=aWQ9NTEwNjM
kissankello,https://mappa.fi/lajikortit/kissankello/?referrer=aWQ9NTEwNjM
peltokanankaali,https://mappa.fi/lajikortit/peltokanankaali-2/?referrer=aWQ9NTEwNjM
ketoneilikka,https://mappa.fi/lajikortit/ketoneilikka/?referrer=aWQ9NTEwNjM
puna-ailakki,https://mappa.fi/lajikortit/puna-ailakki/?referrer=aWQ9NTEwNjM
pihatähtimö,https://mappa.fi/lajikortit/pihatahtimo/?referrer=aWQ9NTEwNjM
pihatatar (pihatatarryhmä),https://mappa.fi/lajikortit/pihatatarryhma/?referrer=aWQ9NTEwNjM
ruohokanukka,https://mappa.fi/lajikortit/ruohokanukka/?referrer=aWQ9NTEwNjM
ketoruusuruoho,https://mappa.fi/lajikortit/ketoruusuruoho/?referrer=aWQ9NTEwNjM
vanamo,https://mappa.fi/lajikortit/vanamo/?referrer=aWQ9NTEwNjM
jättipalsami,https://mappa.fi/lajikortit/jattipalsami/?referrer=aWQ9NTEwNjM
suokukka,https://mappa.fi/lajikortit/suokukka/?referrer=aWQ9NTEwNjM
kanerva,https://mappa.fi/lajikortit/kanerva/?referrer=aWQ9NTEwNjM
variksenmarja,https://mappa.fi/lajikortit/variksenmarja/?referrer=aWQ9NTEwNjM
suopursu,https://mappa.fi/lajikortit/suopursu/?referrer=aWQ9NTEwNjM
mustikka,https://mappa.fi/lajikortit/mustikka/?referrer=aWQ9NTEwNjM
puolukka,https://mappa.fi/lajikortit/puolukka/?referrer=aWQ9NTEwNjM
metsätähti,https://mappa.fi/lajikortit/metsatahti/?referrer=aWQ9NTEwNjM
komealupiini,https://mappa.fi/lajikortit/komealupiini/?referrer=aWQ9NTEwNjM
valkoapila,https://mappa.fi/lajikortit/valkoapila/?referrer=aWQ9NTEwNjM
hiirenvirna,https://mappa.fi/lajikortit/hiirenvirna/?referrer=aWQ9NTEwNjM
tervaleppä,https://mappa.fi/lajikortit/tervaleppa/?referrer=aWQ9NTEwNjM
harmaaleppä,https://mappa.fi/lajikortit/harmaaleppa/?referrer=aWQ9NTEwNjM
rauduskoivu,https://mappa.fi/lajikortit/rauduskoivu/?referrer=aWQ9NTEwNjM
hieskoivu,https://mappa.fi/lajikortit/hieskoivu/?referrer=aWQ9NTEwNjM
metsätammi,https://mappa.fi/lajikortit/metsatammi/?referrer=aWQ9NTEwNjM
keltamatara,https://mappa.fi/lajikortit/keltamatara/?referrer=aWQ9NTEwNjM
metsäkurjenpolvi,https://mappa.fi/lajikortit/metsakurjenpolvi/?referrer=aWQ9NTEwNjM
valkopeippi,https://mappa.fi/lajikortit/valkopeippi/?referrer=aWQ9NTEwNjM
maahumala,https://mappa.fi/lajikortit/maahumala/?referrer=aWQ9NTEwNjM
niittyhumala,https://mappa.fi/lajikortit/niittyhumala/?referrer=aWQ9NTEwNjM
keltakannusruoho,https://mappa.fi/lajikortit/keltakannusruoho/?referrer=aWQ9NTEwNjM
piharatamo,https://mappa.fi/lajikortit/piharatamo/?referrer=aWQ9NTEwNjM
sudenmarja,https://mappa.fi/lajikortit/sudenmarja/?referrer=aWQ9NTEwNjM
metsähaapa,https://mappa.fi/lajikortit/51756/?referrer=aWQ9NTEwNjM
raita,https://mappa.fi/lajikortit/raita/?referrer=aWQ9NTEwNjM
orvokit,https://mappa.fi/lajikortit/orvokit/?referrer=aWQ9NTEwNjM
maitohorsma,https://mappa.fi/lajikortit/maitohorsma/?referrer=aWQ9NTEwNjM
käenkaali,https://mappa.fi/lajikortit/kaenkaali/?referrer=aWQ9NTEwNjM
järvikaisla,https://mappa.fi/lajikortit/jarvikaisla/?referrer=aWQ9NTEwNjM
koiranheinä,https://mappa.fi/lajikortit/koiranheina-2/?referrer=aWQ9NTEwNjM
järviruoko,https://mappa.fi/lajikortit/jarviruoko/?referrer=aWQ9NTEwNjM
osmankäämit,https://mappa.fi/lajikortit/osmankaamit/?referrer=aWQ9NTEwNjM
keltamo,https://mappa.fi/lajikortit/keltamo/?referrer=aWQ9NTEwNjM
valkovuokko,https://mappa.fi/lajikortit/valkovuokko/?referrer=aWQ9NTEwNjM
rentukka,https://mappa.fi/lajikortit/rentukka/?referrer=aWQ9NTEwNjM
sinivuokko,https://mappa.fi/lajikortit/sinivuokko/?referrer=aWQ9NTEwNjM
kullero,https://mappa.fi/lajikortit/kullero/?referrer=aWQ9NTEwNjM
poimulehdet,https://mappa.fi/lajikortit/poimulehdet/?referrer=aWQ9NTEwNjM
ketohanhikki,https://mappa.fi/lajikortit/ketohanhikki/?referrer=aWQ9NTEwNjM
mesiangervo,https://mappa.fi/lajikortit/mesiangervo/?referrer=aWQ9NTEwNjM
